hostname,planet_count,min_period,max_period,min_distance,max_distance,discovery_year,system_distance,ra,dec
HAT-P-57,1,2.4653,2.4653,0.0406,0.0406,2015,279.86,274.743418,10.5971968
HAT-P-58,1,4.0138379,4.0138379,0.04994,0.04994,2021,515.59,68.8465093,56.8682691
HAT-P-59,1,4.1419771,4.1419771,0.05064,0.05064,2021,265.471,292.4588212,62.5291892
HAT-P-6,1,3.85298,3.85298,0.05239,0.05239,2007,275.358,354.7740917,42.4659866
HAT-P-60,1,4.7947813,4.7947813,0.06277,0.06277,2021,233.22,28.2825719,52.0539209
HAT-P-61,1,1.90231289,1.90231289,0.0301,0.0301,2021,338.84,75.4801665,50.1311784
HAT-P-62,1,2.6453235,2.6453235,0.03772,0.03772,2021,348.815,74.5043816,48.3008551
HAT-P-63,1,3.377728,3.377728,0.04294,0.04294,2021,403.458,269.5720695,5.7613709
HAT-P-64,1,4.007232,4.007232,0.05387,0.05387,2021,651.897,68.9743955,2.4312732
HAT-P-65,1,2.60544751,2.60544751,0.04042,0.04042,2016,738.519,315.9054895,11.9893675
HAT-P-66,1,2.972086,2.972086,0.04363,0.04363,2016,935.456,150.5726262,53.9508237
HAT-P-67,1,4.8101025,4.8101025,0.06505,0.06505,2017,371.686,256.6107279,44.7768849
HAT-P-68,1,2.29840551,2.29840551,0.02996,0.02996,2020,202.152,118.4831501,23.9382192
HAT-P-69,1,4.7869491,4.7869491,0.06555,0.06555,2019,341.263,130.5056385,3.7105662
HAT-P-7,1,2.20474,2.20474,0.03809,0.03809,2008,341.079,292.24719,47.9695429
HAT-P-70,1,2.74432452,2.74432452,0.04739,0.04739,2019,330.739,74.5523332,9.9979794
HAT-P-8,1,3.07634,3.07634,0.04496,0.04496,2008,211.553,343.0414932,35.4471778
HAT-P-9,1,3.92281072,3.92281072,0.05287,0.05287,2008,455.203,110.1685157,37.1405946
HATS-1,1,3.446459,3.446459,0.0444,0.0444,2012,283.971,175.5252399,-23.3548451
HATS-10,1,3.312846,3.312846,0.04491,0.04491,2015,534.889,294.3068385,-22.2044872
HATS-11,1,3.619188,3.619188,0.0507,0.0507,2016,944.603,289.4007603,-22.3900092
HATS-12,1,3.142702,3.142702,0.0441,0.0441,2016,746.138,289.202402,-19.3559227
HATS-13,1,3.0440499,3.0440499,0.04057,0.04057,2015,421.855,316.9614798,-26.0967205
HATS-14,1,2.7667641,2.7667641,0.03815,0.03815,2015,513.011,313.2154754,-25.6873756
HATS-15,1,1.74748753,1.74748753,0.02712,0.02712,2016,1139.55,311.0920041,-19.4375266
