pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_eqt,st_rad,st_mass,st_teff,sy_dist,ra,dec,download_date
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,2.99433,0.0436,16.03,1.43,740.51,2.33,1657.0,1.37,1.27,6440.0,655.037,280.6872998,5.9376586,2025-08-09T19:18:00.759694
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,2.828042,0.04016,16.14,1.44,291.438,0.917,1442.0,1.116,1.078,5675.0,1126.37,100.7656871,-1.2964437,2025-08-09T19:18:00.759695
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,4.03519,0.051,9.92,0.885,415.704,1.308,1700.0,1.01,1.09,5945.0,1148.93,102.7211432,-5.0864557,2025-08-09T19:18:00.759696
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,1.51214,0.027,12.22,1.09,2415.4,7.6,1952.0,1.21,1.13,6035.0,1744.6,103.4242023,-5.5360385,2025-08-09T19:18:00.759698
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,5.35227,0.0618,13.11,1.17,170.032,0.535,,1.19,1.098,5650.0,732.409,278.5246658,-6.0026026,2025-08-09T19:18:00.759699
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,3.7681,0.0461,11.43,1.02,772.29,2.43,1626.0,1.59,1.04,5740.0,1176.12,278.699236,-6.612288,2025-08-09T19:18:00.759701
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,1.9000693,0.0295,14.68,1.31,1102.82,3.47,1550.0,1.0,0.95,5440.0,764.889,98.1724172,-0.0316045,2025-08-09T19:18:00.759702
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,3.89713,0.0518,14.46,1.29,352.78,1.11,2000.0,1.65,1.21,6090.0,790.663,97.0335983,-0.1707293,2025-08-09T19:18:00.759703
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,1.7429935,0.02798,16.432,1.466,1102.82,3.47,1521.0,0.906,0.96,5625.0,213.283,291.7770457,1.3836634,2025-08-09T19:18:00.759705
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,9.24285,0.09,9.41556,0.84,1366.669,4.3,1024.0,1.02,1.14,5880.0,844.061,97.7204249,0.2268931,2025-08-09T19:18:00.759707
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,1675.0,2.9,12.2,1.09,,,,1.02,1.14,5880.0,844.061,97.7204249,0.2268931,2025-08-09T19:18:00.759709
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,2.72474,0.0417,14.5717,1.3,718.2958,2.26,,1.95,1.29,6200.0,1398.83419686,101.0526207,-0.2991544,2025-08-09T19:18:00.759710
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,9.75598,0.092,4.88,0.435,12.2,0.038,885.0,1.136,1.099,5939.0,627.158,280.6671392,6.2191669,2025-08-09T19:18:00.759712
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,3.6313,0.048,11.77,1.05,889.9,2.8,1660.0,1.61,1.14,5900.0,1060.97,279.7826586,4.3577516,2025-08-09T19:18:00.759713
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,5.1134,0.056,3.7,0.33,5.7,0.018,1070.0,0.86,0.91,4950.0,591.555,101.922543,-3.7192892,2025-08-09T19:18:00.759715
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,11.759,0.098,5.0,0.44,28.0,0.088,850.0,0.86,0.91,4950.0,591.555,101.922543,-3.7192892,2025-08-09T19:18:00.759716
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,4.86069,0.0578,12.11,1.08,85.81,0.27,1330.0,1.19,1.09,6040.0,1103.48,280.6296561,6.5138223,2025-08-09T19:18:00.759718
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,4.20474,0.0526,14.12,1.26,165.26,0.52,1600.0,1.79,1.09,5590.0,1045.18,279.7504991,6.9697828,2025-08-09T19:18:00.759719
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,3.57532,0.0476,11.287,1.007,3302.11,10.39,1500.0,1.08,1.05,5900.0,1010.28,278.4958319,5.5383811,2025-08-09T19:18:00.759720
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,5.20851,0.0603,10.704595,0.955,153.82972,0.484,,1.78,1.01,5150.0,766.183,278.6883216,5.5736911,2025-08-09T19:18:00.759722
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,2.85057,0.0386,10.0881,0.9,270.1555,0.85,,0.9,0.97,5260.0,806.507,278.9020691,6.4795703,2025-08-09T19:18:00.759723
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,4.2568,0.05783,11.32,1.01,6883.91,21.66,1695.0,1.56,1.37,6740.0,768.771,292.0552827,0.1218359,2025-08-09T19:18:00.759725
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,9.06005,0.0844,11.309881,1.009,921.707,2.9,,0.91,0.98,5650.0,1032.23,277.6011767,6.8359338,2025-08-09T19:18:00.759726
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,4.62941,0.0586,16.36514,1.46,266.9772,0.84,,2.15,1.25,5700.0,2005.76,94.820735,-4.4222978,2025-08-09T19:18:00.759727
CoRoT-32 b,CoRoT-32,1,1,Transit,2018,6.71837,0.071,6.38913,0.57,47.6745,0.15,938.0,0.79,1.08,5970.0,576.683,100.1951714,9.2573953,2025-08-09T19:18:00.759729
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,3.22748,0.0429,18.83108758,1.68,349.6112477,1.1,1747.0,1.65,1.01,6390.0,1123.21,289.3143526,-2.7747085,2025-08-09T19:18:00.759731
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,5.616531,0.066,15.80466279,1.41,216.12331676,0.68,1567.0,1.52,1.32,6730.0,925.958,277.7510149,7.1833465,2025-08-09T19:18:00.759732
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,9.20205,0.09,13.34,1.19,228.83,0.72,1074.0,1.17,1.16,6190.0,726.412,102.1946233,-0.6727861,2025-08-09T19:18:00.759735
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,4.0378962,0.04947,15.558,1.388,148.42,0.467,1438.0,1.186,1.0,6100.0,882.472,101.2772396,0.8152163,2025-08-09T19:18:00.759737
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,8.886593,0.0855,13.068,1.166,940.74,2.96,1017.0,1.025,1.05,6090.0,645.294,281.0725563,6.6632062,2025-08-09T19:18:00.759738
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0.85359163,0.017016,1.68135,0.15,4.0766051771,0.01282637,1756.0,0.83,0.82,5275.0,159.906,100.9561682,-1.0630076,2025-08-09T19:18:00.759740
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,3.698,0.046,2.83,0.253,8.4,0.026429223169619,,0.864273,0.899,5256.0,159.906,100.9561682,-1.0630076,2025-08-09T19:18:00.759741
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,6.21229,0.063,6.39,0.57,69.92,0.22,870.0,0.77,0.88,5080.0,322.037,291.5885696,1.4262972,2025-08-09T19:18:00.759743
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,95.272656,0.4021,11.948794,1.066,266.9772,0.84,420.0,0.96,0.96,5625.0,412.98,280.7866461,6.2040783,2025-08-09T19:18:00.759744
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,4098.1,5.75,12.4,1.1,,,,0.424754,0.51,3579.0,30.5225,201.7207198,45.5455449,2025-08-09T19:18:00.759746
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,246.36,0.36,11.9,1.06,9057.77,28.5,,,0.075,,20.77,125.7620668,-49.2003008,2025-08-09T19:18:00.759747
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,2.882,0.0422,1.65,0.147,,,1632.0,1.26,1.21,6196.0,62.5388,86.7761233,-10.6303217,2025-08-09T19:18:00.759749
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,5.516,0.0651,1.86,0.166,,,1314.0,1.26,1.21,6196.0,62.5388,86.7761233,-10.6303217,2025-08-09T19:18:00.759750
